                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.4913,                  4.588,                 1.7288,                      0,                      0,                      0,                      0,                 2.6058,                 5.9571,                 2.2964,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                 1.5804,                 4.7343,                 1.7758,                      0,                      0,                      0,                      0,                 2.6078,                 5.9458,                 2.3083,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                 1.4186,                 4.7425,                 1.6984,                      0,                      0,                      0,                      0,                 2.6078,                 5.9458,                 2.3083,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                 1.4514,                 4.6878,                 1.5876,                      0,                      0,                      0,                      0,                 2.6078,                 5.9458,                 2.3083,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                 1.6666,                 4.6885,                 1.6377,                      0,                      0,                      0,                      0,                 2.5504,                  5.911,                 2.2995,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                 1.5448,                 4.6371,                 1.7456,                      0,                      0,                      0,                      0,                 2.5504,                  5.911,                 2.2995,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                 1.3919,                 4.6221,                 1.6567,                      0,                      0,                      0,                      0,                 2.5504,                  5.911,                 2.2995,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                 1.1741,                 4.5484,                 1.5459,                      0,                      0,                      0,                      0,                 2.5896,                 5.9143,                 2.3189,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                 1.4602,                 4.5929,                 1.7208,                      0,                      0,                      0,                      0,                 2.5896,                 5.9143,                 2.3189,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                 1.5066,                 4.6198,                 1.6223,                      0,                      0,                      0,                      0,                 2.5896,                 5.9143,                 2.3189,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                  1.186,                 4.5763,                 1.5408,                      0,                      0,                      0,                      0,                 2.5936,                 5.8993,                 2.3432,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                 1.1151,                 4.4743,                  1.519,                      0,                      0,                      0,                      0,                 2.5936,                 5.8993,                 2.3432,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                  1.439,                 4.5099,                 1.5359,                      0,                      0,                      0,                      0,                 2.5936,                 5.8993,                 2.3432,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                  1.114,                 4.5209,                   1.45,                      0,                      0,                      0,                      0,                 2.5877,                 5.8751,                 2.3509,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                 1.4431,                 4.5909,                 1.6268,                      0,                      0,                      0,                      0,                 2.5877,                 5.8751,                 2.3509,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                 1.3614,                 4.4428,                  1.605,                      0,                      0,                      0,                      0,                 2.5877,                 5.8751,                 2.3509,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                  1.343,                 4.6246,                 1.7134,                      0,                      0,                      0,                      0,                 2.6145,                 5.9114,                 2.3257,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                  1.595,                 4.7429,                 1.8142,                      0,                      0,                      0,                      0,                 2.6145,                 5.9114,                 2.3257,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                 1.6494,                  4.655,                 1.7124,                      0,                      0,                      0,                      0,                 2.6145,                 5.9114,                 2.3257,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                 1.2664,                 4.4921,                 1.5581,                      0,                      0,                      0,                      0,                 2.6145,                 5.9114,                 2.3257,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                 1.4698,                 4.6383,                 1.6005,                      0,                      0,                      0,                      0,                  2.619,                 5.9055,                 2.3516,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                 1.5582,                 4.6505,                 1.6521,                      0,                      0,                      0,                      0,                  2.619,                 5.9055,                 2.3516,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                 1.1125,                 4.4939,                  1.497,                      0,                      0,                      0,                      0,                  2.619,                 5.9055,                 2.3516,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                 1.8174,                 5.0665,                 1.8784,                      0,                      0,                      0,                      0,                  2.619,                 5.9055,                 2.3516,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                 1.3383,                 4.8801,                 1.6089,                      0,                      0,                      0,                      0,                  2.621,                 5.8765,                 2.3434,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                 1.5036,                 4.7783,                 1.4533,                      0,                      0,                      0,                      0,                  2.621,                 5.8765,                 2.3434,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                 1.7147,                 4.9521,                 1.9543,                      0,                      0,                      0,                      0,                  2.621,                 5.8765,                 2.3434,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                 1.1694,                 4.6394,                 1.6151,                      0,                      0,                      0,                      0,                  2.621,                 5.8765,                 2.3434,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                 1.4225,                 4.6635,                 1.8827,                      0,                      0,                      0,                      0,                 2.6644,                 5.8827,                 2.3672,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                 1.0874,                 4.5864,                 1.5007,                      0,                      0,                      0,                      0,                 2.6644,                 5.8827,                 2.3672,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                 1.3414,                 4.6726,                 1.7266,                      0,                      0,                      0,                      0,                 2.6644,                 5.8827,                 2.3672,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                 1.3686,                 4.7992,                 1.5228,                      0,                      0,                      0,                      0,                 2.6644,                 5.8827,                 2.3672,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                 1.4181,                 4.6611,                  1.838,                      0,                      0,                      0,                      0,                 2.6626,                 5.8861,                 2.4163,             2.3444e-06,             2.3444e-06,             2.3444e-06
